"","current_jobs","jobs_at_risk","current_income","income_at_risk","NA"
"alabama",2,1722020,1101278.937,71919773900,36931485968.03
"alaska",1,284920,171255.766,12654564000,6011224460.08
"arizona",4,2355040,1404832.153,103820763200,47454639536.68
"arkansas",3,1070380,664070.047,44963671500,22236071978.06
"california",5,14163090,8402249.886,639292172400,287481209367.82
"colorado",6,2212180,1301987.294,100306942400,45306645353.18
"connecticut",7,1475400,837583.018,67951547600,29194040704.08
"delaware",9,371070,225573.324,16096798600,7598275007.7
"district_of_columbia",8,599560,266860.314,36271514300,10939215791.17
"florida",10,7349340,4650002.662,303361091900,153705000291.56
"georgia",11,3797560,2307179.614,167904706400,78934780054.55
"hawaii",12,558070,342014.419,23181813500,11058280310.68
"idaho",14,589520,362140.507,25133566600,12224384786.06
"illinois",15,5168630,3073429.064,231827320300,105494074161.45
"indiana",16,2684160,1710834.595,112035346600,57054785475.46
"iowa",13,1363960,849330.494,58152226300,28780349704.43
"kansas",17,1216310,750385.049,52427663000,25644255439.36
"kentucky",18,1650310,1047462.152,68148116800,34710892914.45
"louisiana",19,1722150,1084899.273,72041411200,36794890670.59
"maine",22,527810,321843.95,22356562500,10760966312.42
"maryland",21,2306300,1292927.595,107606059800,45084136758.36
"massachusetts",20,3069190,1673568.014,146731653600,58638161107.79
"michigan",23,3757710,2310854.376,161831778800,77386809957.32
"minnesota",24,2501100,1482272.743,112251283800,51115554111.85
"mississippi",26,1003550,634721.743,40724703500,20716884639.15
"missouri",25,2443440,1528634.171,103482892100,51590892479.39
"montana",27,401890,252906.297,16335304500,8372622885.44
"nebraska",30,863660,539739.601,37063809000,18665294907.12
"nevada",34,1140240,757743.662,43868010700,23332866628.71
"new_hampshire",31,573810,348124.9,25036702500,11611617743.48
"new_jersey",32,3474620,2051783.823,153752177000,69976400377.96
"new_mexico",33,716270,429539.869,30750497500,14372498539.69
"new_york",35,8149510,4722787.26,362474455700,162696844359.51
"north_carolina",28,3760600,2321177.342,159436234800,77362573025.23
"north_dakota",29,380000,236527.707,16170730400,8231986667.03
"ohio",36,4746300,2894123.642,203350042400,97875968250.43
"oklahoma",37,1441120,883544.321,62925390100,30432823315.3
"oregon",38,1540720,932804.651,67501151800,31390497689.13
"pennsylvania",39,5169800,3187433.653,218735801400,107689203944.91
"rhode_island",40,404020,242676.844,17401912100,8113591417.73
"south_carolina",41,1801950,1134222.217,74502367800,37296242904.73
"south_dakota",42,378530,248259.067,15141852500,8352793175.72
"tennessee",43,2613670,1631540.306,109661172400,54109263931.97
"texas",44,10685220,6616285.142,458017762200,225979490637.52
"utah",45,1237590,743938.141,55300621200,25935995322.69
"vermont",47,264580,157261.575,11212017200,5303045317.52
"virginia",46,3270730,1898440.826,148882564000,65080908516.09
"washington",48,2726240,1607870.468,124196310800,55580757457.67
"west_virginia",50,614590,386498.652,25150313700,12875035117.39
"wisconsin",49,2533000,1578840.857,107209462200,53270273347.46
"wyoming",51,247700,154895.505,10461513800,5429280937.61
